iter	Passed	Remaining
602	6097	4014
603	6106	4003
604	6115	3992
605	6124	3982
606	6134	3971
607	6143	3960
608	6152	3950
609	6161	3939
610	6170	3928
611	6178	3917
612	6188	3906
613	6197	3896
614	6207	3885
615	6216	3875
616	6225	3864
617	6234	3853
618	6243	3843
619	6252	3832
620	6261	3821
621	6270	3810
622	6279	3799
623	6289	3789
624	6299	3779
625	6310	3769
626	6320	3760
627	6333	3751
628	6343	3741
629	6353	3731
630	6362	3720
631	6373	3711
632	6383	3701
633	6393	3690
634	6402	3680
635	6412	3669
636	6423	3660
637	6432	3649
638	6442	3639
639	6452	3629
640	6462	3619
641	6472	3609
642	6482	3598
643	6491	3588
644	6501	3578
645	6510	3567
646	6521	3558
647	6531	3547
648	6540	3537
649	6549	3526
650	6558	3516
651	6568	3505
652	6576	3494
653	6586	3484
654	6596	3474
655	6605	3464
656	6615	3453
657	6624	3443
658	6634	3433
659	6643	3422
660	6653	3412
661	6662	3401
662	6671	3391
663	6680	3380
664	6689	3369
665	6698	3359
666	6707	3348
667	6716	3338
668	6725	3327
669	6735	3317
670	6745	3307
671	6754	3296
672	6763	3286
673	6772	3275
674	6782	3265
675	6791	3254
676	6800	3244
677	6809	3234
678	6819	3223
679	6828	3213
680	6837	3203
681	6847	3192
682	6856	3182
683	6867	3172
684	6876	3162
685	6886	3152
686	6896	3141
687	6905	3131
688	6915	3121
689	6923	3110
690	6934	3100
691	6943	3090
692	6953	3080
693	6963	3070
694	6972	3059
695	6982	3049
696	6992	3039
697	7001	3029
698	7011	3019
699	7020	3008
700	7029	2998
701	7037	2987
702	7047	2977
703	7058	2967
704	7068	2957
705	7077	2947
706	7086	2936
707	7096	2926
708	7105	2916
709	7119	2907
710	7128	2897
711	7137	2887
712	7148	2877
713	7157	2866
714	7167	2856
715	7176	2846
716	7185	2836
717	7195	2826
718	7205	2816
719	7215	2806
720	7226	2796
721	7236	2786
722	7248	2777
723	7258	2767
724	7268	2756
725	7278	2746
726	7287	2736
727	7297	2726
728	7306	2716
729	7316	2706
730	7325	2695
731	7334	2685
732	7345	2675
733	7354	2665
734	7366	2655
735	7376	2645
736	7384	2635
737	7396	2625
738	7405	2615
739	7414	2604
740	7423	2594
741	7431	2584
742	7441	2573
743	7450	2563
744	7460	2553
745	7469	2543
746	7479	2533
747	7489	2523
748	7498	2512
749	7508	2502
750	7518	2492
751	7527	2482
752	7536	2472
753	7545	2461
754	7554	2451
755	7562	2440
756	7572	2430
757	7580	2420
758	7591	2410
759	7601	2400
760	7611	2390
761	7620	2380
762	7629	2369
763	7640	2360
764	7649	2349
765	7659	2339
766	7668	2329
767	7677	2319
768	7687	2309
769	7695	2298
770	7705	2288
771	7714	2278
772	7723	2268
773	7733	2258
774	7742	2247
775	7751	2237
776	7759	2227
777	7768	2216
778	7777	2206
779	7786	2196
780	7795	2185
781	7804	2175
782	7814	2165
783	7823	2155
784	7832	2145
785	7840	2134
786	7849	2124
787	7858	2114
788	7867	2104
789	7876	2093
790	7885	2083
791	7894	2073
792	7903	2063
793	7912	2052
794	7921	2042
795	7930	2032
796	7939	2022
797	7948	2012
798	7957	2001
799	7967	1991
800	7976	1981
801	7985	1971
802	7994	1961
803	8003	1951
804	8012	1940
805	8021	1930
806	8030	1920
807	8038	1910
808	8047	1900
809	8056	1889
810	8066	1879
811	8075	1869
812	8084	1859
813	8093	1849
814	8102	1839
815	8111	1829
816	8120	1818
817	8129	1808
818	8137	1798
819	8148	1788
820	8157	1778
821	8166	1768
822	8175	1758
823	8184	1748
824	8193	1737
825	8201	1727
826	8211	1717
827	8220	1707
828	8229	1697
829	8238	1687
830	8247	1677
831	8256	1667
832	8265	1657
833	8275	1647
834	8283	1636
835	8292	1626
836	8301	1616
837	8310	1606
838	8319	1596
839	8329	1586
840	8338	1576
841	8347	1566
842	8356	1556
843	8365	1546
844	8375	1536
845	8383	1526
846	8393	1516
847	8401	1505
848	8410	1495
849	8419	1485
850	8429	1475
851	8438	1465
852	8446	1455
853	8455	1445
854	8464	1435
855	8474	1425
856	8482	1415
857	8492	1405
858	8500	1395
859	8509	1385
860	8519	1375
861	8528	1365
862	8537	1355
863	8546	1345
864	8555	1335
865	8564	1325
866	8573	1315
867	8582	1305
868	8592	1295
869	8601	1285
870	8610	1275
871	8619	1265
872	8628	1255
873	8637	1245
874	8646	1235
875	8655	1225
876	8663	1215
877	8672	1205
878	8681	1195
879	8691	1185
880	8700	1175
881	8709	1165
882	8718	1155
883	8726	1145
884	8736	1135
885	8745	1125
886	8754	1115
887	8763	1105
888	8772	1095
889	8782	1085
890	8791	1075
891	8800	1065
892	8808	1055
893	8817	1045
894	8826	1035
895	8836	1025
896	8844	1015
897	8854	1005
898	8862	995
899	8871	985
900	8880	975
901	8890	965
902	8899	955
903	8908	946
904	8917	936
905	8926	926
906	8934	916
907	8943	906
908	8953	896
909	8963	886
910	8972	876
911	8981	866
912	8990	856
913	8999	846
914	9008	836
915	9017	826
916	9026	816
917	9036	807
918	9046	797
919	9055	787
920	9065	777
921	9074	767
922	9083	757
923	9092	747
924	9102	738
925	9111	728
926	9122	718
927	9137	708
928	9147	699
929	9156	689
930	9166	679
931	9175	669
932	9186	659
933	9195	649
934	9206	639
935	9216	630
936	9225	620
937	9235	610
938	9244	600
939	9253	590
940	9262	580
941	9271	570
942	9281	560
943	9289	551
944	9299	541
945	9308	531
946	9317	521
947	9327	511
948	9336	501
949	9345	491
950	9354	481
951	9364	472
952	9374	462
953	9383	452
954	9392	442
955	9401	432
956	9410	422
957	9418	412
958	9427	403
959	9437	393
960	9446	383
961	9456	373
962	9465	363
963	9473	353
964	9483	343
965	9492	334
966	9501	324
967	9510	314
968	9519	304
969	9529	294
970	9538	284
971	9547	275
972	9556	265
973	9565	255
974	9574	245
975	9583	235
976	9592	225
977	9601	215
978	9611	206
979	9620	196
980	9630	186
981	9640	176
982	9649	166
983	9658	157
984	9667	147
985	9677	137
986	9687	127
987	9697	117
988	9707	107
989	9715	98
990	9725	88
991	9734	78
992	9743	68
993	9753	58
994	9763	49
995	9773	39
996	9781	29
997	9791	19
998	9800	9
999	9810	0
